Morgan Stanley;0;https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Morgan_Stanley_Logo_1.svg/1280px-Morgan_Stanley_Logo_1.svg.png;commons.wikimedia.org;1280;320;0.25;
Morgan Stanley;1;https://cdn.worldvectorlogo.com/logos/morgan-stanley.svg;worldvectorlogo.com;2500;481;0.1924;
Morgan Stanley;2;https://great-with-disability.s3.amazonaws.com/aa037f01-22cb-4d1f-bb1d-9186e286d5f9.jpg;myplusstudentsclub.com;3863;889;0.23013202174475797;
Morgan Stanley;3;https://www.morganstanley.com/pub/content/dam/msdotcom/newsroom/media-resources/morgan-stanley-official-logo-black.png;morganstanley.com;568;378;1.5026455026455026
Morgan Stanley;4;https://i.forbesimg.com/media/lists/companies/morgan-stanley_416x416.jpg;forbes.com;416;416;1;

JP Morgan;0;https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/J_P_Morgan_Logo_2008_1.svg/2000px-J_P_Morgan_Logo_2008_1.svg.png;commons.wikimedia.org;2000;500;0.25;
JP Morgan;1;https://botw-pd.s3.amazonaws.com/styles/logo-thumbnail/s3/062015/jpmorgan-vector-logo_0.png?itok=aviS6FnY;brandsoftheworld.com;195;195;1;
JP Morgan;2;https://media.cdn.gradconnection.com/uploads/4243ba86-cf42-49f0-bbbf-0e652e40331a-jpmorgan.png;au.gradconnection.com;400;400;1;
JP Morgan;3;https://am.jpmorgan.com/baurl-gim/image/jpm_asset_mgmt.svg;am.jpmorgan.com;612;206;2.970873786407767
JP Morgan;4;https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/J_P_Morgan_Chase_Logo_2008_1.svg/2000px-J_P_Morgan_Chase_Logo_2008_1.svg.png;commons.wikimedia.org;2000;250;0.125;

